EX,Tarifna oznaka,Naziv,Dopunska jedinica,Carinska stopa (%),EU,CEFTA,IRN,TUR,"CHE, LIE",ISL,NOR
,0105 14 00 00,"Živa domaća perad vrste Gallus domesticus, patke, guske, ćurke i biserke >>> mase ne veće od 185 g >>> guske",kd,10,0,0,10,0,10,10,10
ex,0105 14 00 10,"Živa domaća perad vrste Gallus domesticus, patke, guske, ćurke i biserke >>> mase ne veće od 185 g >>> guske >>> za priplod",kd,0,0,0,0,0,0,0,0
,0105 15 00 00,"Živa domaća perad vrste Gallus domesticus, patke, guske, ćurke i biserke >>> mase ne veće od 185 g >>> biserke",kd,10,0,0,10,0,10,10,10
,,"Živa domaća perad vrste Gallus domesticus, patke, guske, ćurke i biserke >>> ostala",,,,,,,,,
,0105 94 00 00,"Živa domaća perad vrste Gallus domesticus, patke, guske, ćurke i biserke >>> ostala >>> kokoški vrste Gallus domesticus",kd,"10+0,8KM/kg","10+0,8KM/kg",0,"10+0,8KM/kg",0,"10+0,8KM/kg","10+0,8KM/kg","10+0,8KM/kg"
ex,0105 94 00 10,"Živa domaća perad vrste Gallus domesticus, patke, guske, ćurke i biserke >>> ostala >>> kokoški vrste Gallus domesticus >>> za priplod",kd,"0+0,8KM/kg","0+0,8KM/kg",0,"0+0,8KM/kg",0,"0+0,8KM/kg","0+0,8KM/kg","0+0,8KM/kg"
,0105 99,"Živa domaća perad vrste Gallus domesticus, patke, guske, ćurke i biserke >>> ostala >>> ostala",,,,,,,,,
,0105 99 10 00,"Živa domaća perad vrste Gallus domesticus, patke, guske, ćurke i biserke >>> ostala >>> ostala >>> patke",kd,"10+0,9KM/kg",0,0,"10+0,9KM/kg",0,"10+0,9KM/kg","10+0,9KM/kg","10+0,9KM/kg"
ex,0105 99 10 10,"Živa domaća perad vrste Gallus domesticus, patke, guske, ćurke i biserke >>> ostala >>> ostala >>> patke >>> za priplod",kd,0,0,0,0,0,0,0,0
,0105 99 20 00,"Živa domaća perad vrste Gallus domesticus, patke, guske, ćurke i biserke >>> ostala >>> ostala >>> guske",kd,"10+0,9KM/kg",0,0,"10+0,9KM/kg",0,"10+0,9KM/kg","10+0,9KM/kg","10+0,9KM/kg"
ex,0105 99 20 10,"Živa domaća perad vrste Gallus domesticus, patke, guske, ćurke i biserke >>> ostala >>> ostala >>> guske >>> za priplod",kd,0,0,0,0,0,0,0,0
,0105 99 30 00,"Živa domaća perad vrste Gallus domesticus, patke, guske, ćurke i biserke >>> ostala >>> ostala >>> ćurke",kd,"10+0,9KM/kg",0,0,"10+0,9KM/kg",0,"10+0,9KM/kg","10+0,9KM/kg","10+0,9KM/kg"
ex,0105 99 30 10,"Živa domaća perad vrste Gallus domesticus, patke, guske, ćurke i biserke >>> ostala >>> ostala >>> ćurke >>> za priplod",kd,0,0,0,0,0,0,0,0
,0105 99 50 00,"Živa domaća perad vrste Gallus domesticus, patke, guske, ćurke i biserke >>> ostala >>> ostala >>> biserke",kd,"10+0,9KM/kg",0,0,"10+0,9KM/kg",0,"10+0,9KM/kg","10+0,9KM/kg","10+0,9KM/kg"
